TID,Module,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Status,Executed QA Name,Misc (Comments),Priority,Is Automated
TID_0001,Login,[Valid] Login test case 1 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0002,Login,[Valid] Login test case 2 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0003,Login,[Valid] Login test case 3 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,Yes
TID_0004,Login,[Valid] Login test case 4 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0005,Login,[Valid] Login test case 5 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0006,Login,[Valid] Login test case 6 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
TID_0007,Login,[Valid] Login test case 7 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0008,Login,[Valid] Login test case 8 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0009,Login,[Valid] Login test case 9 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,Yes
TID_0010,Login,[Valid] Login test case 10 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0011,Login,[Valid] Login test case 11 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0012,Login,[Valid] Login test case 12 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,Yes
TID_0013,Login,[Valid] Login test case 13 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0014,Login,[Valid] Login test case 14 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0015,Login,[Valid] Login test case 15 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,Yes
TID_0016,Login,[Valid] Login test case 16 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0017,Login,[Valid] Login test case 17 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0018,Login,[Valid] Login test case 18 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
TID_0019,Login,[Valid] Login test case 19 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0020,Login,[Valid] Login test case 20 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0021,Login,[Valid] Login test case 21 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,Yes
TID_0022,Login,[Valid] Login test case 22 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0023,Login,[Valid] Login test case 23 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0024,Login,[Valid] Login test case 24 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,Yes
TID_0025,Login,[Valid] Login test case 25 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0026,Login,[Valid] Login test case 26 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0027,Login,[Valid] Login test case 27 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,Yes
TID_0028,Login,[Valid] Login test case 28 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0029,Login,[Valid] Login test case 29 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0030,Login,[Valid] Login test case 30 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
TID_0031,Login,[Valid] Login test case 31 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0032,Login,[Valid] Login test case 32 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0033,Login,[Valid] Login test case 33 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,Yes
TID_0034,Login,[Valid] Login test case 34 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0035,Login,[Valid] Login test case 35 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0036,Login,[Valid] Login test case 36 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,Yes
